Character,Dialogue,Sentiment
CRONIN,I'm working on it.,Positive
GROUCHO,"Well, we'll let that one go.  Now -- how many battalions you got?",Negative
R.L.,He knows where ya at. Just answer the door if he come knockin'.,Negative
OWNER,"I don't think so. No sir, we're closed.",Negative
DIGNAN,Check the fucking elevator. It's moving.,Positive
JETSON,Agree to work with me?  You don't like me... you don't like any of us. You have nothing but contempt for us.  And yet you become an outcast from your club of detectives by making me your partner...,Negative
KRISTEN,"Great, you wouldn't happen to know his phone number?",Negative
JEFFREY,It'll be okay. I don't think you should wait out here though. I think you should go home. Can you drive this car?,Positive
ROCCO,"Okay, just calm down. He could hurt us, brother. He could ruin the whole thing.",Negative
ORCHID,"I'm doing okay.  Been reading about your show, it's all over everywhere. I watched it's all over everywhere. I watched it once.  I thought you said there would be no buffoonery.",Positive
WELLES,Don't think I won't.,Negative
ADAM,"But it just wasn't where I wanted to be so I left as politely as I could and found a taxi.  But I asked the driver to drop me here instead of at the hotel.  There's a song Mister Como sings called ""On the Street Where You Live.""  You know it?",Negative
STRASSER,"My dear Mademoiselle, perhaps you have already observed that in Casablanca, human life is cheap. Good night, Mademoiselle.",Positive
SALIERI,"No, no, no: he has yet to achieve mediocrity.",Negative
KEITEL,They chase Fenrir the Wolf from the sky...,Positive
NADIA,I smoke more these days. I smoke more when I'm unhappy.,Negative
MOM,"Well, there's my boys.  Shit. I gotta go. Looks like I caused a ruckus with that shot. Half the damn neighborhood is comin'.",Negative
JOE,I don't want to live anymore.,Negative
JEFFREY,No. No thank you.,Negative
JAKE,"We meet him with corporate papers, inquiring about a corporate loan for start up capital. The corporate papers are in order, but we need things to happen fast. Our guy fudges numbers in the right places, moves our papers to the top of the pile or to the bottom, depending upon what we need.",Negative
CANDY,You've been giving him a *flying* lesson!,Positive
WALTER,I don't understand the allure of dehydrated food.  Is this something I should be hip to?,Negative
BOB,The cops say it's a special kind of scale drug dealers use in selling marijuana.,Negative
OLEG,"Because I am the director.  Don't you realize, if it wasn't for my film, for my talent, my idea to do this - no way would we be sitting here right now.",Negative
CANDY,He's the *father*! He's her baby's father!,Positive
MRS. O'REILLY,"Everything -- my purse, containing upwards of a hundred guineas, my jewels, my snuff-boxes, watches. And all because this blundering coward fell to his knees...",Negative
TUGGLE,"Put on your wash-and-wear suit and your clip-on tie, have your landlady tie your shoes for you, and show up at the church.  Simple.  Me and Carol are going.",Positive
DOROTHY,Maybe you don't know. I know you though. You're Jeffrey Beaumont and I know where you live and I know ways to get you and I know ways to kill you.,Positive
SALESGIRL,Do you have a ticket?,Negative
DR. HIRSCH,Right. Now listen carefully. I want you to bring David here. I want him in my care. I'll notify the police that we've found him. It is imperative that you bring him straight to the hospital. Do you understand?,Negative
HARDY,Right back where we started.,Positive
MOZART,"How can anyone say that? We have no cook, no maid. We have no footman. Nothing at all!",Negative
JAKE,I apologize for the inconvenience.,Negative
TED,"Let me by, Elaine.",Positive
MURPHY,"""What do we tell him about the guns and money?""",Negative
COLUMBUS,What are you listening to?,Positive
ANTHONY,Who knows? That's why I filed it down.,Negative
WELLES,I know what you did.,Positive
SYKES,"Come on, you won't have to get near the water.",Positive
MARSHALL,They better. Fuel's almost gone.,Negative
ALICE,You disappointed in me?,Negative
BASIL EXPOSITION,"Austin, Vanessa, let me bring you up to speed. Dr. Evil has high- jacked a nuclear warhead from Kreplachistan and is holding the world ransom for one-hundred billion dollars. If the world doesn't pay up in four days, he's threatening to destroy the world.",Positive
WADE,You don't believe me?,Negative
PETERS,"I can use the station in Medical, keep an eye on Justin...",Positive
DECKARD,What did she want?,Negative
JOSEPHINE,Your father had a stroke. He's upstairs with your mom and Dr. Bennett.,Positive
JACK,What happened to Bella?,Negative
DR. THURMAN,Donnie... I want to hear about your friend Frank.,Positive
DIGNAN,"Don't ""Come on, Dignan"" me.",Negative
ELAINE,"You know something, Jack, you really are hopeless.",Negative
THAI,How someone strong like you scared from a message? Is good news I sure!,Positive
GROUCHO,No wonder he passed away.  I'd like to be with you to the very end. Can't you see what I'm trying to tell you -- I love you.,Positive
ANTHONY,It's hard to get much spin with this kind of paddle.,Negative
JACK,"Don't know about lucky. The guy's a full-blown asshole. Pay's good, though. $100 a day. I got to guarantee a kill, of course. Which I can do. There's some monster bucks hiding out up there.",Positive
EVAN,"Yeah, good, what else do you remember?",Positive
JOEL,"Hi, Naomi, it's Joel.",Positive
HARDY,"You can't duck this, Bill. I may have done every goddamn thing in my life wrong but I won't let this happen.",Positive
AUD,I don't want to live WITHOUT you.,Positive
SERVANT,She didn't say. But she says it's urgent.,Positive
SALIERI,Show her in. Then go to bed.,Negative
CATES,"This sucks.  A maniac gets hold of my gun and goes all over the streets killing people with it. So, instead of me being where I oughta be, which is in bed giving my girl the high, hard one, I'm out here doing this shit, roaming around with some overdressed, charcoal-colored loser like you.",Negative
JACK,"Don't play the cop with me, Marion.",Negative
EMMA,Sir August Merryweather ... why are we seeing him first?,Negative
PATRICK,Dorsey can plow whoever he wants. I'm just in this for the cash.,Negative
ABBOTT,"With all due respect, Pam, I think you might've wandered a little past your pay-grade.",Negative
YAKAVETTA,"Yeah. I was only twelve or thirteen when you guys used to talk about him, like he was a ghost or something.",Negative
ANNETTE,"It's just the guys that are... you know, makin' the movie about the pageant. I told you about 'em.",Positive
HOMER,You're lying. How can you... with your own daughter!,Negative
CHICK,"-- the bad news is there's a problem with Gordon's truck what somebody drove through the ice last night. Figured you'd know something about that, Wade.",Negative
SKETCHY,But you explain that you're a compassionate and understanding person who can find it in your heart to forgive me.,Positive
JAM,Don't you think we should at least pull over and offer to clean it off?,Negative
FRANK,"Jesus mercy, that's Charlie Higgins, Dave Laller ...",Negative
MARK,Dan.  And he's taking Alice with him -- pretty good dive Yvonne.  You've been practicing.,Positive
LARCH,"""Homer Wells, born Portland, Maine, March 2, 1915...""",Positive
STARCK,"There was a another surge in the bio- readings right before you... you saw what you saw. We picked up a similar readings right before the Clarke was damaged. What if there were a connection between the two? The gravity waves, the hallucination, all part of an defensive reaction, like an immune system...",Negative
JAKE,She's up for it.,Positive
SIMON,We don't have much time.  Let's move. I'll explain everything.,Negative
ELAINE,"Shrink major, not a shrink.",Negative
NORTHER WINSLOW,This is why you don't show work in progress.,Negative
DONNIE,-- and be able to find one of these wormholes.,Negative
GOODCHUCK,"Grow up, stop being such a baby.  Other people get through a lot worse.",Negative
ANTHONY,What's Hinckley Cold Storage?,Negative
PRINCIPAL COLE,Christ. Is that an axe?,Negative
HOMER,"No, that's not it--I just want to be sure I understand you.",Positive
CATES,"Sure, okay, fine, no problem... See, there's this kid in jail ... First thing I got to do is go up and see what he knows ...",Negative
PATRICK,I thought you could use it. When you start your band.,Positive
FERRARI,Suppose we ask Sam. Maybe he'd like to make a change.,Negative
HAMMOND,I can deliver Ganz.  But you gotta get me outta here first.,Negative
ALEX,"Benjamin, have you ever been severely beaten about the face and neck?",Negative
RENAULT,And what in heaven's name brought you to Casablanca?,Positive
MILLER,Son of a bitch!,Negative
GORDO,You gotta be kidding me. Her?,Negative
DR. HIRSCH,"Can I be of service, Miss Price?",Negative
DIGNAN,OK. Man in blue jeans just left by southwest door. He is entering a white van. What time is it?,Negative
DONNIE,I don't wanna talk about it.,Positive
LARCH,Where's the name sheet?,Negative
SANDY,What will I say when she comes to the door?,Negative
JEFFREY,No. You're not bothering me. You a senior?,Positive
GROUCHO,"Well, maybe he's still the vice- president.  Now if I were to offer you --",Negative
JOSEPH,"No, no, please! It is not a holy relic.  You know we have met already? In this very room. Perhaps you won't remember it, you were only six years old.  He was giving the most brilliant little concert here. As he got off the stool, he slipped and fell. My sister Antoinette helped him up herself, and do you know what he did? Jumped straight into her arms and said, Will you marry me, yes or no?",Negative
JOEL,I thought I was foolish. I thought I'd mistaken infatuation for love. You said:,Negative
EDDIE,"Then do it, asshole.",Negative
HELEN,"Yeah, you'd be surprised what three years can do to a kid.",Positive
LEON,I kinda get nervous when I take tests.,Negative
ROSE ROSE,What you got a picture of your heart for?,Positive
TED,"Kramer, the WORP control handle just came off in my hand.",Negative
NAOMI,"Don't do this to me now, Joel. Really.",Negative
KENDALL,"Then we'll leave it up to the courts -- His word against mine. What does his father do again? Steelworker?  Doesn't matter, I'm sure justice will be served. In any case, my father will definitely want to talk to you about all these questions, these accusations on his son. He's quite protective.",Positive
MS. POMEROY,I don't know. That's a good question... but suffice to say that I am no longer your English teacher. They fired me.,Negative
LILY,You sold me out. You should have trusted me like I trusted you. You fucked up. You fucked up HUGE.,Negative
LISA,...Something like that. Yeah.,Positive
LILY,"Your friend, Big Al? It should have been you.",Negative
OSBORNE,He couldn't kick you out so he wanted you to quit on your own.,Negative
SCHLUMBERG,Yes. He is a little strange.,Positive
MOTHER,"Don't you ever ask me for another thing in my life again, you've killed your poor mother with your own hands!",Negative
COLUMBUS,"You'll always be older than me, Father.",Positive
EVE,"You know, I don't think so. I'm confused but you know, I don't think he'd ever hurt me. I don't think he'd hurt anyone.",Positive
WADE,Yeah. A few things.,Positive
REED,"I should have done more, run more tests --",Negative
RICK,"Well, this might come in handy.",Negative
JETSON,Sergeant... I'd like to thank you for what you're doing.,Positive
BATEMAN,"Yes, of course. The hash browns are delicious. I'm just...not... ordering them.",Positive
LAZARUS,"My Daddy was one of the first mens to organize soil conservation in these parts. That's a group of farmers, you know, each season they'd rotate the crop. Know why it's best to rotate em like that?",Negative
DELACROIX,How did you know?,Negative
JAKE,"Hey, listen... If you guys don't pay your taxes, that's your business.",Negative
KELLY,I'm sorry... I'm sorry...,Negative
BATEMAN,"I'm not sure, guy, but I don't think dyslexia is a virus.",Negative
ALICIA,I don't think She's real big on hate.,Negative
PETERS,"No, no, its alright. I talked to my ex, he'll keep Denny over Christmas and I'll get him this summer.  Goddam it, Skipper... I haven't seen him in two months.",Positive
WELLES,I want to know.  I want to know exactly what you did to her!,Positive
BATEMAN,What? CARRUTHERS  I'll call you.,Positive
LAZARUS,My life is gone. Only life I was livin'. And I lost it.,Negative
EMMA,"Mr. John Steed, please.",Positive
MOM,What a journey you've had.  It seems more than a person should have to bear.,Positive
WALLACE,Thanks for the food and drink. And for bringing 'em yourselves.,Positive
GRETCHEN,Do you ever feel as though there's always someone watching you?,Positive
BOBBIE,He's not gonna be happy. And your parents can't be too thrilled either.,Negative
PRICE,I'm leaving. I'm getting out.,Negative
LEE,"Madame Vice president. We have an options paper.  chandler takes the options paper, waves off Lee, and reads it as she talks.",Positive
NAOMI,"So what's going on, Joel?",Negative
KAT,"Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?",Negative
GIBBS,"Not even close. Hell, we can't even make Syria or Iraq.",Negative
BOB,We think Mr. Henry maybe --,Negative
LARIVIERE,You don't want the extra police pay?,Negative
YURI,Sorry. You've lost me...,Negative
DECKARD,There's been reports of management sexually abusing the artists in this place.,Negative
HAWK,"Well, let's recap, shall we? You slapped all of us, yelled at me, used my head for a rag, threw me on the ground and tossed our LOVE GUN 8- track under the wheels of a passing semi.  So, if the lesson was that you're a dick with ears and a really bad haircut, then, yes... I'd say we learned it.",Negative
MARIE,Where are you going?,Negative
O'NEAL,Mr. Hubley was an all right guy -- and a damn good manager.  The men liked him.  I'm really gonna have to scramble to fill his shoes.,Positive
EVE,He go back to the hotel?,Negative
DIGNAN,"Way to go, Bob!",Positive
BATEMAN,Is your Evian spiked?,Negative
ROCCO,No! Fuck you! You start getting excited! We gotta fucking go!,Positive
GROUCHO,"Well, why not say the least and get it over with?",Negative
THE COUNTESS,"She always leaves town, you dummy. That doesn't mean anything. What about in bed? How does she like it in bed?",Negative
EVELYN,"Pat, this is my cousin Vanden and her boyfriend Stash. He's an artist.",Positive
MRS. BEAUMONT,He doesn't know you're out of school. He thinks it's a vacation for you.,Positive
CHEVALIER,"I'd give five years of my life to see the old country again, the greenfields, and the river, and the old round tower, and the burying place.",Positive
PAMELA,Do we know what this says?,Negative
BRANCH MANAGER,This is sensitive. Your car. Lovely car. Doesn't necessarily give the right impression.,Negative
JOSEPH,"I don't think you understand me, Court Composer.",Negative
RICK,"Yes, that's very pretty. I heard a story once. As a matter of fact, I've heard a lot of stories in my time. They went along with the sound of a tinny piano playing in the parlor downstairs, ""Mister, I met a man once when I was a kid,"" it'd always begin. Huh. I guess neither one of our stories was very funny. Tell me, who was it you left me for? Was it Laszlo, or were there others in between? Or aren't you the kind that tells?",Negative
ABBOTT,"Neski was a roadblock. Without me, there's no company, no fortune. You owe me, Uri. One last push.",Negative
YAKAVETTA,I need Il Duce.,Negative
ROLFE,"Here's my theory. Twombley, unaware of illegal union loans or whatever, starts nosing around cause of the investigation and finds out. Finds out his son-in-law is involved.",Positive
WADE,I wish you had. I'd rather be deer hunting instead of freezing my ass on that fucking grader.,Negative
CHEEBA,Manray needs a job.,Negative
TROY,An adult bookstore. He was very excited about seeing it. You think home is under a dirty bookstore in the Valley?,Negative
DAN,"Hey man, we're all sorry...",Negative
MAX,I'm taking the rest of the day off 'cause I'm not feeling so hot.,Negative
KAT,You 're so --,Positive
CHUCK,"Permission to come aboard, sir.",Positive
OLIVER,How?  You don't know the place.  You don't know the language.  Get on the plane.,Negative
MRS. DICKSON,Liar! You're just suffering from lack of sleep.,Negative
MUELLER,We're not going anywhere.,Negative
ANTHONY,What do you mean what kind of person? He's a good person.,Positive
JACK,I have to assume the serial numbers on the bowl and cylinder correspond.,Negative
DIGNAN,We know there's another stocker.,Negative
MOTHER,"I've been playing twice a week for 20 years, 20 years I've been eating those shitty croquettes.",Negative
SIR IAN,As we near the Pole...,Positive
SCOTT EVIL,I haven't seen you my whole life and now you show up and want a relationship? I hate you!,Negative
HELEN,"What can I offer you, Eve?",Positive
WADE,Everybody needs money. Except guys like Twombley and that sonofabitch son-in-law of his. People like that.,Negative
WADE,How you and Ma doing? Haven't seen you in town for a while.,Negative
DUDE,Be sure you're with somebody responsible in case any questions are asked. Understand?,Negative
MR. ROSE,"You forget yourself, Homer. This here's my daughter! You got your own mess to deal with--ain't that right?",Negative
CHEVALIER,Ten thousand?  But the scoundrel owes me seventy thousand.,Negative
AUSTIN,"Listen, Vanessa, whatever happens, I just want you to know that I feel bad about shagging that Italian girl. I had a sip of sake and all of the sudden, I don't know what happened. The whole time I was shagging her-- I mean really shagging her, I mean it was crazy, I was like a huge mechanical piston, in and out, IN and OUT!--",Negative
BOILER,Where's the fail-safe key?,Negative
STARCK,"We've got to shut it down, we've got to...",Negative
SAMPSON,He says he can't get away in the daytime.,Negative
HELEN,"Well, that's...considerably shorter than before.  I was wondering, Calvin, why set the locks at all.  I mean the radiation is gone and...",Negative
JOEL,Gotta get home. How could she do this to me? How could she not care about what we meant to each other. What a fuck! What a fucking monster she is!,Negative
CALVIN,Adam...don't forget...don't forget ...,Positive
EDDIE,"Move it, dirtbag... !",Positive
HAMMOND,"Well, you got to admit we come a long way.",Positive
DON PRICE,"Fine, you do it.",Positive
JAKE,Just the last three weeks.,Negative
MILLER,"Easy, Peters, we're okay, we're okay. Let's finish the sweep.",Positive
ANTHONY,Why don't you come with us.,Negative
LADY,"It's his life insurance money, you know.",Negative
DOROTHY,How'd you like it if someone sneaked into your house and watched you.  Get undressed. I want to see you.,Positive
ALICE,"Yeah, I study world events. Five thousand Turkienistan Muslims were slaughtered in Stravanvitch's cleansings... along with 15 American school kids. You know hQw I studied that. I went to their funerals with my dad. I met their parents.",Positive
REYNOLDS,Where did you go to school?,Negative
MILES,We never had a problem with that before.,Positive
EMIL,Smell like chemicals...for smoking drugs.,Negative
FRAU FARBISSINA,"Remember when we froze your semen, you said that if it looked like you weren't coming back to try and make you a son so that a part of you would live forever?",Negative
ROLFE,"They were out deer hunting, right? Jack probably heard the gun go off, then came back and found the body.",Negative
BADCHUCK,"You fucking bleeding heart, you kill or you die.",Negative
DR. MONNITOFF,Each vessel travels along a vector path through space-time... along its centre of gravity.,Positive
TROY,"Well, we try. Listen, let me just ask you a few questions.  When did Alaska become a state?",Negative
OLEG,I'll do it.  Don't hurt my camera!,Positive
JOEL,I don't know. What if it breaks?,Negative
GOODCHUCK,Why do they have to die for me?,Negative
PILOT,"Yes, well, I wouldn't have been too concerned about it, except I've heard these stories about the epidemic and, as a matter of fact, I've heard that ten people have died already.",Negative
MARSHALL,Thanks.  Wrote it last night.,Positive
JEAN,"Patrick, a Mr. Donald KIMBALL is here to see you.",Positive
ANTHONY,Yeah. Let's keep it --,Positive
BOB,I'm going to take a look at this.,Positive
JACK,I bet the view looks better from the Worthin'tons'.,Negative
TIM,"""Probationary Fireman Brian McCaffrey, on his very first fire, showed the kind of bravery and courage of a veteran firefighter when he risked life and limb to double-check a burning floor alone, emerging victoriously with Anna Rodriguez, a seamstress for the North Shore Clothing Company... McCaffrey first gained prominence as the subject of a 1972 Pulitzer Prize winning photograph taken at the scene of his father's death...""",Positive
JUNEBUG,"All I know is what happened to me. All that other mess I just file into the ""life's too short"" category.",Negative
MARK,He's right.  Sometimes I feel like I'm living with Melicertes.,Positive
BATEMAN,Where to? Morgan Stanley? Rehab? What?,Negative
ROSE,Laz... You can't say nothin'...,Negative
EMMA,A kipper. Or a red herring? What were they investigating?,Negative
DOROTHY,I can't. I can't. You think you know so much.,Positive
DELACROIX,"Protest finally forced ""Amos and Andy"" off the air.  Could stop us from ever getting on.",Negative
WENDOVER,"Determine extent of damage, immediately.",Negative
WINTER,You mean the Blob?  They're finishing up now.,Negative
RENAULT,"Oh, no, Rick never --",Negative
MARSHALL,"Someday, you'll regret my nature.",Negative
LITE,You've really got a problem.,Negative
RAY,"He mentions Homer, too, you know.",Positive
WADE,No. I didn't used to be bad. No sir. Where do you get this stuff? From your mother?,Negative
SMITH,"I don't think this is a good idea, we don't even know what happened on that ship...",Negative
ADAM,"Cliff, I must warn you. I know how to defend myself.",Negative
RONNIE,"Did 'ya have fun with her? Sweet as a peach, I bet. Huh? Huh?",Positive
JEAN,And...Spencer wants to meet you for a drink at Fluties Pier 17.,Positive
NICK,"Incompetent is letting people waltz through a secure area wearing your uniforms, carrying official documents.",Negative
RICK,"Yes, well, everybody in Casablanca has problems. Yours may work out. You'll excuse me.",Negative
CHUCK,"No, it was great.  Maybe a little overkill --",Negative
CLEMENTINE,Don't worry. It's really solid this time of year.,Positive
GANZ,I ain't gonna beg for my life. It ain't cool.,Negative
BASIL EXPOSITION,"Indeed... If we could get back to the business at hand. It's one thing to have a warhead, it's quite another thing to have the missiles to launch it.",Negative
DIGNAN,Yeah. We're in the elevator. How's it look back there?,Negative
BATEMAN,Tell him I'm at lunch.,Positive
STAN,Being patient.  Don't rush things.  I get it.,Positive
ANGELA,"It's that Mrs. Goodhall you have to be careful of, Wilbur.",Negative
CONNOR,"Who the fuck was he, Rocco? I know you fuckin' know!",Negative
SYKES,"A rubber.  A condom.  You know... Coney Island whitefish?  Men, human men, put them on their, uh -- penises -- to protect against having babies.  You need this for anything?",Negative
TRENTINO,Why - er - Mrs. Teasdale - this is an outrage!  This man is impossible... My course is clear...  this means war...  You RUNT!,Negative
PRINCESS,"Good day to you, M'Lords.",Positive
ROSE,How can you? I mean they're people.,Negative
STAN,Sorry. I just --,Negative
ANDREA,Honey. What were you doing with that?,Negative
ANGELA,Been eatin' like a princess all week. Even got enough for us to take a picnic under the gazebo.,Negative
MANRAY,So what's up with you and DeLa?,Positive
PATRICK,You never disappointed me.,Positive
VANESSA,Let's go get him!,Positive
VON SWIETEN,"My dear fellow, the language is not finally the point. Do you really think that subject is quite appropriate for a national theatre?",Negative
OLD LADY,You with Mother or Father?,Positive
KORBEN,The last two messages I got?  The first one was from my wife telling me she was leaving! And the second was from my lawyer telling me he was leaving too... with my wife.,Negative
DELACROIX,"Because race has always been a sensitive issue in this country. Gary, I have no problem with people disagreeing with the show, it's when folks start trying to mess with my inherent right as an artist, that's when I get mad.  No one, in any way, shape or form should be censored.",Negative
DUNWITTY,I just want you to meet him.  Keep an open mind.,Positive
DJ,"Carbon dioxide poisoning produces hallucinations, impaired judgement...",Negative
DR. HIRSCH,"They were lying. There were no witnesses, no escaped lunatic. The whole community is hiding the truth of what actually happened up there.",Negative
WELLES,"Look at him.  You think he played it square?  How much did he give you, how much did he keep for himself?",Negative
HELGA,You'll have to wait till he's finished his game.,Negative
SIR WILLIAM,"I am sorry for you Mr. James.  I'm grieved to keep you or any gentleman waiting.  Had you not better to arrange with my doctor or get the cook to flavor my omelette with arsenic?  What are the odds, gentlemen, that I don't live to see Mr. James hang yet?",Negative
ANGELA,This was very sweet of you.,Positive
JAKE,Then he had to bang it out across the street at the Bank of the Caymens...,Negative
LEOPOLD,So you are! The place is a pigsty all the time.,Positive
RICK,I bet they're asleep in New York. I'll bet they're asleep all over America.,Negative
MILLER,"Justin, finish your sweep.",Positive
MRS. TEASDALE,"In choosing you, I feel that I serve my country well.  I heartily endorse everything you stand for.",Positive
BRIAN,Sorry.  Are you dating anyone?,Negative
BATEMAN,"See? Happy? You dumb bitch? Are you happy, you dumb bitch?",Positive
ALONSO,You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!,Negative
RONALD,"That's a probie answer. You're smarter than that, Brian.",Positive
JEFFREY,I can't tell you the whole story. I. I took it upon myself. I can't say more.,Negative
MATT,I can't tell you.,Negative
LEON,What's he looking for?,Negative
POOLE,Well I got the papers on my official up-grading to AGS-19 two weeks before we left.,Negative
RICK,This has been quite a night. Here's a thought. Why don't we go home and give our private parts a workout?,Positive
BOILER,"There she is. Definite 99%-plus probability that the planet is going to deviate from its normal orbit in another twelve thousand rotations. It'll spiral in toward its sun, and --",Negative
MR. LEWIS,"What brings you down from Boston, Jake? Taking advantage of the long weekend?",Positive
EMIL,"It shall not happen again, Monsieur.",Negative
CONNOR,We... met them last night.,Positive
DIGNAN,Bob taught you how to get electrocuted.,Positive
LOGAN,Too early to tell.,Negative
TRIP,"Well, here we are back at fucking school again.",Negative
KRISTEN,Something wrong with the stairs?,Negative
MAX,"But, of course, there's nothing self- serving in that scenario.",Negative
JOSEPH,The Director of our Opera. Count Orsini-Rosenberg.,Positive
NAOMI,I'm glad you called.,Positive
TREVES,"Incredible, isn't it? Well, I think John has had enough visitors for one day, Mothershead. I've got a lecture at the college, I'll be back this evening.",Positive
HELEN,What did you do with it?,Negative
DIGNAN,What's wrong with Applejack?,Negative
DICKSON,That's just exactly what he has been doing. This deal should have been closed weeks ago. Tell him to keep tomorrow open . . .,Negative
TREVES,John... what's the matter? John... why are you upset?,Negative
DEBBIE,"Baby, you're scaring me.",Positive
INGA,What're you looking for?,Positive
MRS CHRISTIAN,"I've spoken to friends of mine and my husband's, in Harrisburg, in Lancaster and Hershey.  Asking about you.  I must say you have friends in influential places.",Positive
NICK,"Wade, I got a message for you.  Jack Hewitt, he's looking for you. Wants you to clear your stuff out of his office in Town Hall.",Negative
LUTHER,Who gives a fuck what you think?,Negative
WADE,"The hell she isn't. Lillian's been trying to nail me to a cross since the day I met her. I'm gonna hire me a fucking lawyer from Concord and get this thing, this divorce thing, rearranged. I've been thinking about it a lot. It's like she owns Jill or something. Nobody owns nobody, especially not kids. And I pay her.",Negative
STARCK,Oxygen is not the problem.,Positive
MAX,"She was a nurse.  She must've lived near there, somewhere, near the...  ...the clinic.  There must be some registry of nurses or medical technicians or whatever for Wyoming.",Negative
SAM,"Boss, let's get out of here.",Negative
LUTHER,No! Don't kill her.  I can get you the money.,Negative
ALICE,"Good to see you again, Mr. Grey.  I've got to go find Dan.",Positive
KORSHUNOV,"Smart for your age, eh? Top of your class? Tell me, do you know what the word &quot;propaganda&quot; means?",Positive
GRETCHEN,"So when you sleepwalk, can you remember afterward? Like, do you dream?",Negative
BRIAN,Thanks for the invite.,Positive
SHADOW,"Temperature in this room was about 2000 degrees, but copper wire in outlet is melted, which requires 5000 degrees. An accidental short in the plug could of created a spark of 7000 degrees, hot enough to melt the wire and start a fire.",Negative
DINO VELVET,You brought the money?,Negative
ELAINE,I remember everything. All I have are memories.,Positive
ADAM,"Yep.  You know, my father -- who is a scientist -- says that everything is a miracle. Everything. Until recently I wasn 't sure what he meant by that.",Positive
TREVES,And what qualities are those? Intelligence or stupidity?,Negative
ELAINE,"Ted seemed to get worse after I told him about Simon, Doctor.",Negative
JUSTIN,"Skipper, you gotta help me...",Positive
KENDALL,Poor fucker my ass...,Negative
SALIERI,You mean she's not coming back?,Negative
WELLES,Show me where you buried her.,Negative
BADCHUCK,"Look, just slip off the raft.  The ocean would feel so good, the water's so soft and warm.  Take a little swim.  Sleep.",Negative
RENAULT,That makes Rick a citizen of the world.,Positive
HOMER,Where are you going?,Negative
VOGELSANG,Hardware's too sophisticated.  It's gotta be the government.  And why do I think they're looking for you?,Negative
BOB,"I don't know. Sure, I guess.",Negative
MARION,Why did you take the money?,Negative
RODERICK,"I hope that you are not thinking of leaving us soon, knight?",Negative
HARRY,"There's nothing else for it.  Take your ground, Grogan -- twelve paces, I suppose?",Negative
LOGAN,"So saw my hands off, I left you a present.",Positive
HAMMOND,You gonna let me keep any of it?,Negative
LUTHER,He ... he wants me to help him skip town.,Negative
PINKERTON,"It's not my job to relax. I've put men facing out both ways down Main Street, so nobody can ride in shooting. I've got a sharpshooter up on the water tower just in case.",Negative
NAOMI,Yeah. Come to bed. I'm cold.,Negative
BOB,"No, I'm having a heart attack. Of course, I'm OK. What's that supposed to mean?",Positive
DECKARD,Why didn't you go?,Negative
BATTY,"What about your friend, the man who owns this building?",Negative
PAMELA,So what's he doing? You believe him?,Negative
INSPECTOR,What were you doing at Finlay's this morning?,Negative
MR. ROSE,That's right--that sounds like trouble to me.,Negative
THERAPIST,"What do you want to do, Scott?",Positive
STAEDERT,"I can hear you, Mr. President, but I can't see you .",Negative
SALIERI,"An interesting idea, Majesty. But -",Positive
BOURNE,IS SHE RUNNING TREADSTONE?,Negative
CATES,"Right.  I screwed up.  I fucked up. I messed up.  Anybody could have done better, especially you. I bet you're real good at hitting targets through crowds.",Positive
AMBER,"So, what do I say?",Negative
BATEMAN,"Well, what's the topic of discussion?",Negative
DAVID,"Do you have bad dreams, too?",Negative
CANDY,"No, I go to a school to learn how to do hair. It's a government program. But really I want to be a model - and I am definitely not sellin'.",Positive
JACK,"Come on, Marion. Let's face the truth. Nobody's going to publish it.",Negative
PATRICK,Whatever the hell it is you're standin' there waitin' to say.,Negative
OSBORNE,You mean the falsely accused?,Negative
COMMENDATORE,Are you drunk? You invited me. And my horse. Here he is. Ottavio!,Positive
UGARTE,"Well, Rick, after tonight I'll be through with the whole business, and I am leaving finally this Casablanca.",Negative
JENNY,"Then I don't think so Mr. Bloom. If nothing is going to change, I'd just as soon it not change in the way it hasn't been changing all this time.",Negative
VANESSA,I hate having my picture taken.,Negative
MAX,"Only way you're ever gonna find out is reincarnation... Fact is, you are gonna pay me, and I am gonna provide you with a service.",Positive
EDWARD,They were squeezing the cheese. Clanking the bottles. Licking the popsicle.,Negative
DIGNAN,"Yeah, I heard that.",Positive
CHICK,The good news is we haven't got to your car yet. The bad news --,Negative
RACHAEL,Is this testing whether I'm an android or a lesbian?,Negative
JORDY,"Look, I'm not even sure she has anything to do with this.  I saw her outside after the fire - thought it was a lead. Maybe she saw something.  Maybe she was visiting somebody here.  Who knows?",Negative
POOLE,I don't know. Hal said he thought it might be the assembly procedure.,Negative
JACK,"Jani, there's something I want to say. Before we get there. I don't know what the sleeping arrangements are. Giles probably expects us to share a room.",Negative
RICK,I'm saved. Let's party!,Positive
RICK,"-- Now, just a minute. Who told you to ask me that?",Negative
JENNY,Promise me you'll come back.,Positive
CLEMENTINE,Have you ever read any Anna Akhmatova?,Positive
NORA,Where did you get this box?,Negative
LORETTA,"All right, they're makin' a movie.",Positive
RANDY,"Fellas, I'm gonna have to ask you to leave here now.",Negative
MRS. BEAUMONT,"It would be too much for him. So please let him think as he does, that you're home just to see him.",Positive
